id,Price
300000,81.922
300001,82.625
300002,81.719
300003,81.578
300004,78.438
300005,80.609
300006,81.469
300007,83.406
300008,82.094
300009,80.688
300010,80.0
300011,79.656
300012,81.094
300013,82.062
300014,81.219
300015,82.125
300016,81.812
300017,81.781
300018,82.391
300019,82.922
300020,83.797
300021,82.375
300022,79.531
300023,80.344
300024,82.297
300025,80.734
300026,81.578
300027,80.812
300028,80.938
300029,81.922
300030,83.156
300031,80.828
300032,82.203
300033,82.5
300034,79.422
300035,81.906
300036,81.641
300037,82.859
300038,81.281
300039,79.5
300040,82.312
300041,81.656
300042,83.109
300043,81.719
300044,83.906
300045,82.484
300046,81.641
300047,82.734
300048,84.812
300049,78.656
300050,80.5
300051,80.688
300052,81.406
300053,82.656
300054,83.0
300055,80.188
300056,80.641
300057,80.734
300058,83.562
300059,83.0
300060,80.781
300061,81.984
300062,79.875
300063,80.938
300064,80.547
300065,81.812
300066,83.078
300067,82.688
300068,78.594
300069,83.25
300070,80.094
300071,84.344
300072,81.844
300073,80.859
300074,83.328
300075,80.438
300076,78.891
300077,78.797
300078,83.344
300079,82.0
300080,78.938
300081,82.562
300082,80.109
300083,80.469
300084,80.078
300085,82.094
300086,79.047
300087,82.188
300088,81.25
300089,83.844
300090,81.047
300091,81.688
300092,81.578
300093,81.344
300094,80.562
300095,82.469
300096,80.875
300097,81.141
300098,83.328
300099,82.812
300100,81.688
300101,80.594
300102,82.188
300103,79.344
300104,82.531
300105,84.016
300106,81.688
300107,78.75
300108,79.781
300109,82.562
300110,80.906
300111,78.062
300112,81.328
300113,79.375
300114,82.656
300115,81.312
300116,83.172
300117,82.094
300118,80.953
300119,79.328
300120,80.062
300121,82.281
300122,82.25
300123,79.969
300124,82.766
300125,81.469
300126,80.797
300127,82.312
300128,81.594
300129,81.656
300130,81.109
300131,80.219
300132,81.5
300133,79.656
300134,82.094
300135,81.297
300136,80.906
300137,81.859
300138,80.078
300139,81.344
300140,79.75
300141,81.219
300142,82.406
300143,83.516
